cp_number;comp_id;groups_list;runner_id;time;points;golden_point
31;2601; M, M55, W17, W35, W45 ;SauAr;02:18;3;0
31;2601; M, M55, W17, W35, W45 ;StaVi;02:21;2;0
31;2601; M, M55, W17, W35, W45;KavRe;02:22;1;0
31;2601; M, M55, W17, W35, W45;TunGa;02:51;3;0
31;2601; M, M55, W17, W35, W45;VaiEl;03:05;2;0
31;2601; M, M55, W17, W35, W45;ReiVa;03:18;1;0
51;2601; M17, M65, W14;StaMa;01:06;3;0
51;2601; M17, M65, W14;ZalJu;01:15;2;0
51;2601; M17, M65, W14;StaTa;01:15;2;0
51;2601; M17, M65, W14;ZubRo;01:15;2;0
51;2601; M17, M65, W14;ValMa;01:23;1;0
51;2601; M17, M65, W14;UrbGa;01:55;3;0
51;2601; M17, M65, W14;MysIz;04:11;2;0
51;2601; M17, M65, W14;UtkSo;08:17;1;0
59;2601; M14, M35, M45, W;ValPa;01:17;3;0
59;2601; M14, M35, M45, W;JurAn;01:17;3;0
59;2601; M14, M35, M45, W;PauMa;01:18;2;0
59;2601; M14, M35, M45, W;PabRa;01:19;1;0
59;2601; M14, M35, M45, W;UmbJu;01:16;3;1
59;2601; M14, M35, M45, W;KucGo;01:16;3;1
59;2601; M14, M35, M45, W;MicAl;01:20;2;0
59;2601; M14, M35, M45, W;MicKa;01:21;1;0
69;2601; M10, W10, W12;KubSa;01:58;3;0
69;2601; M10, W10, W12;StoAi;02:00;2;0
69;2601; M10, W10, W12;GriMa;02:38;1;0
69;2601; M10, W10, W12;LiuMe;01:32;3;1
69;2601; M10, W10, W12;MicTe;02:35;2;0
69;2601; M10, W10, W12;MysLu;02:51;1;0
55;2602; DM, DM20, DM23, DV35, DV45, DV17, DV55, DV65;StaMa;01:37;3;0
55;2602; DM, DM20, DM23, DV35, DV45, DV17, DV55, DV65;RauJo;01:38;2;0
55;2602; DM, DM20, DM23, DV35, DV45, DV17, DV55, DV65;PlaAu;01:39;1;0
55;2602; DM, DM20, DM23, DV35, DV45, DV17, DV55, DV65;AndGa_01;01:41;3;0
55;2602; DM, DM20, DM23, DV35, DV45, DV17, DV55, DV65;MicAl;01:42;2;0
55;2602; DM, DM20, DM23, DV35, DV45, DV17, DV55, DV65;MicKa;01:50;1;0
37;2602; DM12, DV12, DM14, DM65, DV14;ZetRu;00:44;3;0
37;2602; DM12, DV12, DM14, DM65, DV14;PauMa;00:52;2;0
37;2602; DM12, DV12, DM14, DM65, DV14;KavAz;00:59;1;0
37;2602; DM12, DV12, DM14, DM65, DV14;StaRu;01:15;3;0
37;2602; DM12, DV12, DM14, DM65, DV14;UrbGa;01:19;2;0
37;2602; DM12, DV12, DM14, DM65, DV14;RauVy;03:08;1;0
31;2602; DM17, DM35, DM45, DV, DV20;KavRe;01:25;3;0
31;2602; DM17, DM35, DM45, DV, DV20;MaiJo;01:28;2;0
31;2602; DM17, DM35, DM45, DV, DV20;PorAd;01:28;2;0
31;2602; DM17, DM35, DM45, DV, DV20;AmbIg;01:31;1;0
31;2602; DM17, DM35, DM45, DV, DV20;TunGa;02:07;3;0
31;2602; DM17, DM35, DM45, DV, DV20;PauRe;02:22;2;0
31;2602; DM17, DM35, DM45, DV, DV20;BalLi;02:33;1;0
31;2602; DM17, DM35, DM45, DV, DV20;JasAg;02:33;1;0
52;2603; DM, DM20, DM23, DV14, DV65, DV35, DV45;BenVy;01:23;3;0
52;2603; DM, DM20, DM23, DV14, DV65, DV35, DV45;PocMa_01;01:27;2;0
52;2603; DM, DM20, DM23, DV14, DV65, DV35, DV45;StuRi;01:28;1;0
52;2603; DM, DM20, DM23, DV14, DV65, DV35, DV45;AndGa_01;01:25;3;0
52;2603; DM, DM20, DM23, DV14, DV65, DV35, DV45;MicAl;01:28;2;0
52;2603; DM, DM20, DM23, DV14, DV65, DV35, DV45;UmbJu;01:31;1;0
48;2603; DM12, DV12, DM14, DM65;BerJu;02:55;3;0
48;2603; DM12, DV12, DM14, DM65;JuoKa;04:36;2;0
48;2603; DM12, DV12, DM14, DM65;KasDo;06:45;1;0
48;2603; DM12, DV12, DM14, DM65;UrbGa;02:08;3;1
48;2603; DM12, DV12, DM14, DM65;RauVy;02:10;2;1
48;2603; DM12, DV12, DM14, DM65;StaGa;02:33;1;1
59;2603; DM17, DM35, DM45;AleIr;01:28;3;0
59;2603; DM17, DM35, DM45;TunGa;01:41;2;0
59;2603; DM17, DM35, DM45;VaiEl;01:41;2;0
59;2603; DM17, DM35, DM45;NorVa;01:46;1;0
31;2603; DV, DV20;AmbIg;03:28;3;0
31;2603; DV, DV20;PetLu;03:31;2;0
31;2603; DV, DV20;GviJo;03:35;1;0
53;2603; DV17, DV55;ZalJu;02:30;3;0
53;2603; DV17, DV55;StaMa;02:36;2;0
53;2603; DV17, DV55;RauJo;02:38;1;0
